Env,Size,Reward type,Game id,Final reward,Num edges,t* index,density,avg_degree,max_degree,avg_clustering,num_components,avg_shortest_path
Global,12,central,21,-1.4210854715202004e-14,52,7,0.7878787878787878,8.666666666666666,11,0.8892255892255893,1,1.2121212121212122
Global,12,central,22,-4.263256414560601e-14,52,7,0.7878787878787878,8.666666666666666,11,0.8869949494949495,1,1.2121212121212122
Global,12,central,23,0.0,52,6,0.7878787878787878,8.666666666666666,11,0.8761483886483886,1,1.2121212121212122
Global,12,central,24,-1.4210854715202004e-14,52,7,0.7878787878787878,8.666666666666666,11,0.8892255892255893,1,1.2121212121212122
Global,12,central,25,0.0,53,6,0.803030303030303,8.833333333333334,11,0.8788419913419915,1,1.196969696969697
Global,12,central,26,-1.4210854715202004e-14,52,6,0.7878787878787878,8.666666666666666,11,0.8727272727272727,1,1.2121212121212122
Global,12,central,27,0.0,53,6,0.803030303030303,8.833333333333334,11,0.8788419913419915,1,1.196969696969697
Global,12,central,28,1.4210854715202004e-14,53,7,0.803030303030303,8.833333333333334,11,0.8885521885521884,1,1.196969696969697
Global,12,central,29,-0.07919037351810232,56,7,0.8484848484848485,9.333333333333334,11,0.89983164983165,1,1.1515151515151516
Global,12,central,30,-4.263256414560601e-14,52,6,0.7878787878787878,8.666666666666666,11,0.8761483886483886,1,1.2121212121212122
Global,12,central,31,2.842170943040401e-14,53,7,0.803030303030303,8.833333333333334,11,0.8885521885521884,1,1.196969696969697
Global,12,central,32,-1.4210854715202004e-14,54,7,0.8181818181818182,9.0,11,0.890909090909091,1,1.1818181818181819
Global,12,central,33,1.4210854715202004e-14,53,7,0.803030303030303,8.833333333333334,11,0.8885521885521884,1,1.196969696969697
Global,12,central,34,-0.7449611282972626,52,7,0.7878787878787878,8.666666666666666,11,0.8758658008658008,1,1.2121212121212122
Global,12,central,35,-0.7449611282972484,52,7,0.7878787878787878,8.666666666666666,11,0.8758658008658008,1,1.2121212121212122
Global,12,central,36,1.4210854715202004e-14,53,7,0.803030303030303,8.833333333333334,11,0.8885521885521884,1,1.196969696969697
Global,12,central,37,-0.04619953147950184,53,6,0.803030303030303,8.833333333333334,11,0.8774410774410774,1,1.196969696969697
Global,12,central,38,-0.5857864376269077,53,6,0.803030303030303,8.833333333333334,11,0.8825998075998077,1,1.196969696969697
Global,12,central,39,-4.263256414560601e-14,51,6,0.7727272727272727,8.5,11,0.8696969696969697,1,1.2272727272727273
Global,12,central,40,0.0,53,6,0.803030303030303,8.833333333333334,11,0.8788419913419915,1,1.196969696969697
Global,12,central,41,0.0,53,6,0.803030303030303,8.833333333333334,11,0.8788419913419915,1,1.196969696969697
Global,12,central,42,1.4210854715202004e-14,53,7,0.803030303030303,8.833333333333334,11,0.8885521885521884,1,1.196969696969697
Global,12,central,43,-2.842170943040401e-14,52,6,0.7878787878787878,8.666666666666666,11,0.8761483886483886,1,1.2121212121212122
Global,12,central,44,0.0,53,6,0.803030303030303,8.833333333333334,11,0.8788419913419915,1,1.196969696969697
Global,12,central,45,-1.4210854715202004e-14,54,7,0.8181818181818182,9.0,11,0.8933501683501684,1,1.1818181818181819
Global,12,central,46,1.4210854715202004e-14,53,7,0.803030303030303,8.833333333333334,11,0.8885521885521884,1,1.196969696969697
Global,12,central,47,-0.01482440223436754,50,6,0.7575757575757576,8.333333333333334,11,0.8724446849446849,1,1.2424242424242424
